id,name,age,email,gpa,level,enrolled_courses
1,Cassi,22,cdaveren0@bbb.org,60,8,"[1,2,3,4]"
2,Carol-jean,18,csculpher1@webmd.com,96,8,"[1,2,3,4,5,6,7,8,9]"
3,Vevay,18,vbarmadier2@studiopress.com,92,6,"[1,2]"
4,Latia,18,ltomasian3@google.cn,80,3,"[9,8,7,6,1]"
5,Vinnie,17,varnall4@springer.com,92,1,"[1,2,3,4]"
6,Adele,20,aswateridge5@ifeng.com,70,1,"[1,2,3,4,5,6,7,8,9]"
7,Trescha,23,tscotney6@statcounter.com,96,5,"[1,2]"
8,Cristabel,18,cshimmings7@nsw.gov.au,60,9,"[9,8,7,6,1]"
9,Hailee,17,harmsby8@rakuten.co.jp,96,8,"[1,2,3,4]"
10,Cymbre,20,cpeetermann9@tinyurl.com,96,3,"[1,2,3,4,5,6,7,8,9]"
11,Tina,18,tgogina@who.int,90,5,"[1,2]"
12,Dacy,18,dkeefeb@fotki.com,75,2,"[9,8,7,6,1]"
13,Idaline,20,ipillifantc@de.vu,80,7,"[1,2,3,4]"
14,Karin,17,kskermd@bbc.co.uk,88,6,"[1,2,3,4,5,6,7,8,9]"
15,Gwyneth,18,gkidstone@sogou.com,95.3,2,"[1,2]"
16,Eimile,20,educkeringf@unesco.org,84.4,3,"[9,8,7,6,1]"
17,Lana,17,ljeckellg@princeton.edu,84.4,2,"[1,2,3,4]"
18,Nonie,19,nmonelleh@hatena.ne.jp,95.3,9,"[1,2,3,4,5,6,7,8,9]"
19,Willamina,17,wegani@dmoz.org,95.3,1,"[1,2]"
20,Flora,19,ffetterj@blogtalkradio.com,60,1,"[9,8,7,6,1]"
